#AREA,ID_MotorA,ID_MotorB,ID_MotorC,ID_MotorD,ID_PwrElec,Lc_MotorA,Lc_MotorB,Lc_MotorC,Lc_MotorD,LC_PwrElec,Lc_StatPF,Lc_Zp,Lc_Ip,Lc_Zq,Lc_Iq,Lc_Pf,Lc_Qf
ATL_RES,MA,MB,MC,AC,PE,0.123,0.09,0.083,0.386,0.082,1,0.173,0.062,1,0,0,-1
ATL_COM,MA,MB,MC,AC,PE,0.086,0.272,0.056,0.021,0.358,1,0.047,0.161,1,0,0,-1
ATL_MIX,MA,MB,MC,AC,PE,0.263,0.122,0.069,0.191,0.122,1,0.117,0.117,1,0,0,-1
ATL_RAG,MA,MB,MC,AC,PE,0.297,0.105,0.073,0.183,0.116,1,0.123,0.103,1,0,0,-1
MGM_RAG,MA,MB,MC,AC,PE,0.296,0.103,0.075,0.203,0.114,1,0.114,0.095,1,0,0,-1
MGM_MIX,MA,MB,MC,AC,PE,0.263,0.119,0.071,0.21,0.119,1,0.109,0.109,1,0,0,-1
IND_SRF,IA,IB,IC,AC,PI,0,0,0.1,0,0.9,1,0,0,1,0,0,-1
