#FEEDER,Bss,Rfdr,Xfdr,Fb,Xxf,TfixHS,TfixLS,LTC,Tmin,Tmax,step,Vmin,Vmax,Tdel,Ttap,Rcomp,Xcomp
FDR_01,0,0.04,0.04,0.75,0.08,1,1,1,0.9,1.1,0.00625,1.025,1.04,30,5,0,0
FDR_01_noLTC,0,0.04,0.04,0.75,0.08,1,1,1,0.9,1.1,0.00625,1.025,1.04,999,5,0,0
FDR_02_CVR,0,0.04,0.04,0.75,0.08,1,1,1,0.9,1.1,0.00625,1,1.02,30,5,0,0
FDR_02_noLTC,0,0.04,0.04,0.75,0.08,1,1,1,0.9,1.1,0.00625,1,1.02,999,5,0,0
FDR_IND,0,0.02,0.02,1,0.08,1,1,1,0.9,1.1,0.00625,1,1.02,999,5,0,0
